aX,aY,aZ,gX,gY,gZ
-0.122,-0.481,0.837,-188.293,-2.686,43.274
-0.019,-0.496,0.945,-194.58,39.734,55.542
0.095,-0.494,1.034,-191.833,68.787,63.416
0.191,-0.539,1.085,-178.223,75.989,61.584
0.242,-0.589,1.102,-159.79,65.613,51.025
0.233,-0.623,1.086,-140.808,44.373,35.034
0.181,-0.619,1.041,-125.61,18.555,19.775
0.099,-0.56,0.999,-117.92,-4.761,9.216
0.001,-0.494,0.979,-118.042,-18.005,5.798
-0.025,-0.448,1.02,-125.854,-18.555,11.658
-0.018,-0.402,1.102,-135.803,-4.028,20.996
0.019,-0.375,1.15,-139.832,22.339,27.832
0.08,-0.381,1.158,-137.39,49.011,32.593
0.155,-0.4,1.173,-132.019,63.538,33.936
0.213,-0.412,1.269,-125.244,62.317,30.884
0.236,-0.411,1.341,-110.84,48.462,23.437
0.206,-0.433,1.327,-89.355,27.161,11.597
0.167,-0.436,1.294,-73.73,2.625,1.343
0.114,-0.409,1.269,-65.918,-18.066,-4.7
0.054,-0.397,1.244,-61.523,-31.433,-7.446
0.009,-0.434,1.245,-59.937,-36.865,-6.714
-0.005,-0.38,1.251,-60.242,-31.189,-4.333
-0.02,-0.385,1.244,-54.077,-20.691,-3.967
-0.012,-0.38,1.221,-43.945,-10.01,-4.089
0.003,-0.368,1.191,-33.264,-4.761,-4.944
0.008,-0.362,1.146,-22.522,-5.432,-8.179
-0.002,-0.356,1.095,-14.099,-11.597,-12.085
-0.02,-0.36,1.052,-8.85,-19.165,-14.771
-0.036,-0.356,1.016,-6.897,-22.644,-15.015
-0.057,-0.35,0.996,-7.141,-23.376,-14.099
-0.076,-0.356,0.964,-7.08,-21.973,-12.329
-0.092,-0.353,0.928,-6.775,-18.616,-10.986
-0.107,-0.347,0.898,-5.981,-15.259,-9.705
-0.115,-0.342,0.885,-5.859,-10.925,-8.118
-0.114,-0.338,0.876,-5.066,-6.165,-6.47
-0.104,-0.338,0.872,-5.005,-1.587,-5.249
-0.093,-0.332,0.877,-5.554,0.366,-4.211
-0.085,-0.327,0.896,-6.775,0.366,-3.601
-0.075,-0.326,0.918,-8.179,0,-2.686
-0.188,1.03,-2.09,497.62,-153.87,-97.046
-0.324,0.676,-2.558,477.783,-98.999,-76.538
-0.47,0.538,-2.995,417.114,-54.138,-60.669
-0.539,0.505,-3.231,330.383,-30.212,-45.898
-0.58,0.469,-3.287,241.516,-20.325,-34.973
-0.605,0.457,-3.168,158.936,-20.752,-22.949
-0.613,0.407,-2.97,89.783,-20.02,-9.338
-0.587,0.32,-2.746,35.828,-11.23,5.981
-0.526,0.167,-2.502,-5.798,3.662,24.597
-0.421,0.007,-2.242,-41.199,23.376,44.617
-0.302,-0.134,-1.984,-76.599,41.077,64.636
-0.197,-0.304,-1.71,-104.431,55.664,76.294
-0.088,-0.423,-1.445,-126.282,68.42,76.416
-0.025,-0.506,-1.152,-143.921,75.623,75.134
0,-0.543,-0.89,-153.32,80.75,77.209
-0.021,-0.546,-0.735,-151.855,85.693,78.125
-0.054,-0.591,-0.657,-142.944,85.144,71.533
-0.078,-0.641,-0.603,-132.202,78.735,61.768
-0.11,-0.651,-0.572,-122.986,70.19,52.734
-0.153,-0.632,-0.584,-115.54,64.453,43.335
-0.222,-0.646,-0.637,-112.671,61.096,35.034
-0.285,-0.703,-0.631,-118.103,56.091,33.142
-0.338,-0.752,-0.541,-132.202,54.504,35.706
-0.382,-0.785,-0.377,-145.935,58.533,39.978
-0.399,-0.814,-0.174,-152.832,66.65,46.021
-0.383,-0.848,0.023,-149.048,73.73,52.49
-0.343,-0.881,0.101,-134.644,78.552,56.946
-0.283,-0.924,0.058,-115.356,79.712,55.481
-0.254,-0.956,-0.051,-99.854,71.96,48.584
-0.259,-0.963,-0.159,-94.238,54.016,38.452
-0.292,-0.94,-0.246,-97.717,33.752,30.029
-0.333,-0.902,-0.324,-104.797,17.395,24.841
-0.367,-0.87,-0.402,-113.77,7.202,23.987
-0.391,-0.835,-0.457,-124.573,2.625,26.489
-0.399,-0.8,-0.47,-136.841,5.798,31.555
